timestamp,open,high,low,close,volume
2024-09-11,216.2000,228.4700,213.6700,228.1300,229883287
2024-09-06,215.2600,235.0000,209.6400,210.7300,388463568
2024-08-30,218.7500,219.0900,202.5900,214.1100,311918353
2024-08-23,217.0700,228.2200,210.3200,220.3200,381622057
2024-08-16,199.0200,219.8000,194.6700,216.1200,389155956
2024-08-09,185.2200,203.8799,182.0000,200.0000,368934704
2024-08-02,224.9000,234.6800,205.7800,207.6700,464001152
2024-07-26,244.2100,255.7594,214.7100,219.8000,576337172
2024-07-19,255.9700,265.6000,236.8300,239.2000,587103140
2024-07-12,247.7100,271.0000,233.0912,248.2300,824144572
2024-07-05,201.0200,252.3700,200.8500,251.5200,661801938
2024-06-28,184.9700,203.2000,182.0100,197.8800,389591990
2024-06-21,177.9200,188.8100,177.0000,183.0100,297690969
2024-06-14,176.0600,191.0800,167.4100,178.0100,407043372
2024-06-07,178.1300,182.6389,172.1300,177.4800,312710972
2024-05-31,176.4000,182.6700,173.1600,178.0800,259618626
2024-05-24,177.5600,186.8750,173.2600,179.2400,402867388
2024-05-17,170.0000,180.0000,169.0000,177.4600,370347383
2024-05-10,183.8000,187.5600,167.7500,168.4700,377983065
2024-05-03,188.4200,198.8700,176.0200,181.1900,628370764
2024-04-26,140.5600,172.1200,138.8025,168.2900,649063934
2024-04-19,170.2400,170.6900,146.2200,147.0500,462858314
2024-04-12,169.3400,179.2200,167.7900,171.0500,450138092
2024-04-05,176.1700,177.1900,160.5100,164.9000,536821185
2024-03-28,168.7600,184.2500,168.7300,175.7900,346873723
2024-03-22,170.0200,178.1800,165.9000,170.8300,418091163
2024-03-15,175.4500,182.8700,160.5100,163.5700,499381990
2024-03-08,198.7300,199.7500,173.7000,175.3400,549590219
2024-03-01,192.2900,205.6000,192.0000,202.6400,488348794
2024-02-23,196.1300,199.4400,189.1300,191.9700,379971148
2024-02-16,192.1100,203.1700,182.1087,199.9500,495639529
2024-02-09,184.2600,194.1200,175.0100,193.5700,536016008
2024-02-02,185.6300,196.3593,182.0000,187.9100,540672852
2024-01-26,212.2600,217.8000,180.0600,183.2500,642909480
2024-01-19,215.1000,223.4900,207.5600,212.1900,429375220
2024-01-12,236.1400,241.2500,217.1501,218.8900,502418170
2024-01-05,250.0800,251.2500,234.9001,237.4900,420606080
2023-12-29,254.4900,265.1300,247.4300,248.4800,407257251
2023-12-22,253.7800,259.8400,247.0000,252.5400,550765074
2023-12-15,242.7400,254.1300,228.2000,253.5000,636290550
2023-12-08,235.7500,246.6600,233.2902,243.8400,578245318
2023-12-01,236.8900,252.7500,231.9000,238.8300,649667916
2023-11-24,234.0400,244.0100,231.0200,235.4500,422092683
2023-11-17,215.6000,246.7000,211.6101,234.3000,720156239
2023-11-10,223.9800,226.3200,205.6900,214.6500,614241373
2023-11-03,209.2800,226.3701,194.0700,219.9600,621700507
2023-10-27,210.0000,222.0500,202.5100,207.3000,585973376
2023-10-20,250.0500,257.1830,210.4200,211.9900,616410739
2023-10-13,255.3100,268.9400,250.2200,251.1200,541545143
2023-10-06,244.8100,263.6000,242.6200,260.5300,592798300
2023-09-29,243.3800,254.7700,234.5800,250.2200,588808971
2023-09-22,271.1600,273.9300,244.4800,244.8800,575237587
2023-09-15,264.2700,278.9800,260.6100,274.3900,663743610
2023-09-08,245.0000,258.0000,243.2650,248.5000,480301845
2023-09-01,242.5800,261.1800,235.3500,245.0100,605113105
2023-08-25,221.5512,240.8200,220.5800,238.5900,573767855
2023-08-18,235.7000,240.6600,212.3600,215.4900,556272451
2023-08-11,251.4500,253.6511,238.0200,242.6500,517873700
2023-08-04,267.4800,269.0800,250.4900,253.8600,467350209
2023-07-28,255.8500,272.9000,254.1200,266.4400,560761830
2023-07-21,286.6250,299.2900,255.8000,260.0200,723314005
2023-07-14,276.4700,285.3000,265.1000,281.3800,539813729
2023-07-07,276.4900,284.2500,272.8800,274.4300,485803346
2023-06-30,250.0650,264.4500,240.7000,261.7700,748633707
2023-06-23,261.5000,276.9900,248.2500,256.6000,721745073
2023-06-16,247.9400,263.6000,244.5900,260.5400,811787289
2023-06-09,217.8000,252.4200,212.5300,244.4000,848497515
2023-06-02,200.1000,217.2500,195.1200,213.9700,590603323
2023-05-26,180.7000,198.6000,178.2200,193.1700,685490829
2023-05-19,167.6550,181.9500,164.3500,180.1400,575071860
2023-05-12,173.7200,177.3800,166.5600,167.9800,582794740
2023-05-05,163.1700,170.7899,158.8300,170.0600,559718515
2023-04-28,164.6500,165.6500,152.3700,164.3100,663783956
2023-04-21,186.3200,189.6900,160.5600,165.0800,668486597
2023-04-14,179.9400,191.5846,176.1100,185.0000,617553456
2023-04-06,199.9100,202.6897,179.7400,185.0600,553750170
2023-03-31,194.4150,207.7900,185.4300,207.4600,623640604
2023-03-24,178.0800,200.6600,176.3500,190.4100,694177636
2023-03-17,167.4550,186.2199,163.9100,180.1300,712075329
2023-03-10,198.5400,198.6000,168.4400,173.4400,789636325
2023-03-03,202.0300,211.2300,186.0100,197.7900,807198448
2023-02-24,204.9900,209.7100,191.7800,196.8800,660435100
2023-02-17,194.4150,217.6500,187.6100,208.3100,1014364828
2023-02-10,193.0100,214.0000,189.5500,196.8900,973057671
2023-02-03,178.0500,199.0000,162.7800,189.9800,1091608981
2023-01-27,135.8700,180.6800,134.2700,177.9000,1095958317
2023-01-20,125.6950,136.6800,124.3082,133.4200,691307319
2023-01-13,118.9600,125.9500,114.9200,122.4000,891852239
2023-01-06,118.4700,118.8000,101.8100,113.0600,790689169
2022-12-30,117.4950,124.4800,108.2400,123.1800,809414633
2022-12-23,154.0000,155.2500,121.0200,123.1500,821451251
2022-12-16,176.1000,177.3700,150.0400,150.2300,687706165
2022-12-09,189.4400,191.2700,169.0600,179.0500,471983601
2022-12-02,179.9600,198.9200,178.7500,194.8600,439273798
2022-11-25,175.8500,185.2000,166.1850,182.8600,331544487
2022-11-18,192.7700,200.8237,176.5500,180.1900,390472869
2022-11-11,208.6500,208.9000,177.1200,195.9700,596889173
2022-11-04,226.1900,237.3951,203.0800,207.4700,342474516
2022-10-28,205.8200,233.8100,198.5863,228.5200,413072923
2022-10-21,210.0400,229.8200,202.0000,214.4400,415404010
2022-10-14,223.9300,226.9900,204.1600,204.9900,397406475
2022-10-07,254.5000,257.5000,222.0200,223.0700,448139986
2022-09-30,271.8300,289.0000,262.4700,265.2500,320014147
